Week_Ending,Account_ID,Account_Type,Asset_Class,Industry_Sector,Ticker,Holding_Name,Market_Value,Weekly_Return_USD,Weekly_Return_Pct,Actual_Performance,Predicted_Performance,Predicted_Probability
2024-11-05,IRA-1995,Retirement,Equity,Real Estate,XRTT,Rangel-Lopez,9154.55,209.27,0.0234,1,1,0.7153
2024-11-05,CRY-6789,Crypto Wallet,Alternative,Technology,XRG,RichCoin,6774.11,-599.15,-0.0813,0,0,0.0201
2024-11-05,IRA-1995,Retirement,Fixed Income,N/A,OTGK,"Burke, Gray and Berry",10858.08,42.76,0.004,1,1,0.6873
2024-11-05,CRY-6789,Crypto Wallet,Alternative,N/A,TBX,SortCoin,14003.76,-583.42,-0.04,0,0,0.0
2024-11-05,CRY-6789,Crypto Wallet,Alternative,N/A,DZI,BeautifulCoin,21721.51,1853.68,0.0933,1,1,0.752
2024-11-05,BRK-5234,Taxable,Fixed Income,N/A,TTPY,Shaw Ltd,21628.62,265.25,0.0124,1,1,1.0
2024-11-05,IRA-1995,Retirement,Equity,Consumer Staples,VREI,"Rich, Schroeder and Horne",18243.13,-763.25,-0.0402,0,0,0.1163
2024-11-05,BRK-5234,Taxable,Fixed Income,N/A,NODD,Miller and Sons,20732.43,129.47,0.0063,1,1,0.8182
2024-11-05,CRY-6789,Crypto Wallet,Alternative,N/A,CCF,ButCoin,17798.34,-1946.81,-0.0986,0,0,0.2993
2024-11-05,BRK-5234,Taxable,Cash,N/A,ZRKB,"Bradshaw, Dalton and Jennings",6919.15,-2.46,-0.0004,0,0,0.0812
2024-11-05,BRK-5234,Taxable,Cash,N/A,LYMP,Ritter and Sons,16664.52,5.67,0.0003,1,1,0.9766
2024-11-05,IRA-1995,Retirement,Equity,Industrials,JAXI,Rodriguez-Jones,19143.15,637.56,0.0345,1,1,0.6684
2024-11-05,CRY-6789,Crypto Wallet,Alternative,Real Estate,SIL,SkinCoin,23586.5,155.93,0.0067,1,1,0.6724
2024-11-05,CRY-6789,Crypto Wallet,Alternative,Technology,JOU,DemocraticCoin,14849.84,-429.98,-0.0281,0,0,0.1035
2024-11-05,BRK-5234,Taxable,Cash,N/A,FWFN,Schultz LLC,18320.74,1.21,0.0001,1,1,0.7226
2024-11-05,BRK-5234,Taxable,Alternative,Real Estate,VULY,Jones LLC,20418.76,-803.1,-0.0378,0,0,0.1873
2024-11-05,BRK-5234,Taxable,Fixed Income,N/A,DITR,Moore-Rodriguez,13888.3,5.81,0.0004,1,1,0.5723
2024-11-05,IRA-1995,Retirement,Equity,Real Estate,TUQG,Johnson Ltd,23453.69,-227.08,-0.0096,0,0,0.0841
2024-11-05,BRK-5234,Taxable,Fixed Income,N/A,VFDN,Wilson Group,19479.22,-186.84,-0.0095,0,0,0.219
2024-11-05,IRA-1995,Retirement,Fixed Income,N/A,AIMG,Martinez-Khan,16852.3,119.49,0.0071,1,1,0.7651
2024-11-12,IRA-1995,Retirement,Equity,Real Estate,XRTT,Rangel-Lopez,9129.92,-24.63,-0.0027,0,0,0.4729
2024-11-12,CRY-6789,Crypto Wallet,Alternative,Technology,XRG,RichCoin,6798.61,24.5,0.0036,1,1,0.5695
2024-11-12,IRA-1995,Retirement,Fixed Income,N/A,OTGK,"Burke, Gray and Berry",10846.25,-11.83,-0.0011,0,0,0.4978
2024-11-12,CRY-6789,Crypto Wallet,Alternative,N/A,TBX,SortCoin,14731.59,727.83,0.052,1,1,0.8326
2024-11-12,CRY-6789,Crypto Wallet,Alternative,N/A,DZI,BeautifulCoin,21789.48,67.97,0.0031,1,1,0.6894
2024-11-12,BRK-5234,Taxable,Fixed Income,N/A,TTPY,Shaw Ltd,21624.06,-4.56,-0.0002,0,0,0.0137
2024-11-12,IRA-1995,Retirement,Equity,Consumer Staples,VREI,"Rich, Schroeder and Horne",17728.06,-515.08,-0.0282,0,0,0.2253
2024-11-12,BRK-5234,Taxable,Fixed Income,N/A,NODD,Miller and Sons,20658.45,-73.98,-0.0036,0,1,0.5052
2024-11-12,CRY-6789,Crypto Wallet,Alternative,N/A,CCF,ButCoin,19106.07,1307.74,0.0735,1,1,0.6937
2024-11-12,BRK-5234,Taxable,Cash,N/A,ZRKB,"Bradshaw, Dalton and Jennings",6926.56,7.41,0.0011,1,1,0.601
2024-11-12,BRK-5234,Taxable,Cash,N/A,LYMP,Ritter and Sons,16663.64,-0.89,-0.0001,0,0,0.2952
2024-11-12,IRA-1995,Retirement,Equity,Industrials,JAXI,Rodriguez-Jones,20120.42,977.27,0.0511,1,1,0.9578
2024-11-12,CRY-6789,Crypto Wallet,Alternative,Real Estate,SIL,SkinCoin,22933.98,-652.51,-0.0277,0,0,0.2985
2024-11-12,CRY-6789,Crypto Wallet,Alternative,Technology,JOU,DemocraticCoin,13855.34,-994.49,-0.067,0,0,0.4575
2024-11-12,BRK-5234,Taxable,Cash,N/A,FWFN,Schultz LLC,18306.54,-14.19,-0.0008,0,0,0.2547
2024-11-12,BRK-5234,Taxable,Alternative,Real Estate,VULY,Jones LLC,19657.87,-760.89,-0.0373,0,0,0.2167
2024-11-12,BRK-5234,Taxable,Fixed Income,N/A,DITR,Moore-Rodriguez,13788.01,-100.29,-0.0072,0,0,0.1693
2024-11-12,IRA-1995,Retirement,Equity,Real Estate,TUQG,Johnson Ltd,23386.59,-67.1,-0.0029,0,0,0.1229
2024-11-12,BRK-5234,Taxable,Fixed Income,N/A,VFDN,Wilson Group,19414.2,-65.02,-0.0033,0,0,0.3628
2024-11-12,IRA-1995,Retirement,Fixed Income,N/A,AIMG,Martinez-Khan,16867.1,14.8,0.0009,1,1,1.0
2024-11-19,IRA-1995,Retirement,Equity,Real Estate,XRTT,Rangel-Lopez,9523.08,393.16,0.0431,1,1,0.9434
2024-11-19,CRY-6789,Crypto Wallet,Alternative,Technology,XRG,RichCoin,6921.89,123.28,0.0181,1,1,0.8227
2024-11-19,IRA-1995,Retirement,Fixed Income,N/A,OTGK,"Burke, Gray and Berry",10960.7,114.45,0.0106,1,1,0.9746
2024-11-19,CRY-6789,Crypto Wallet,Alternative,N/A,TBX,SortCoin,14296.26,-435.33,-0.0296,0,0,0.2031
2024-11-19,CRY-6789,Crypto Wallet,Alternative,N/A,DZI,BeautifulCoin,21153.47,-636.01,-0.0292,0,0,0.1631
2024-11-19,BRK-5234,Taxable,Fixed Income,N/A,TTPY,Shaw Ltd,21575.44,-48.62,-0.0022,0,0,0.3862
2024-11-19,IRA-1995,Retirement,Equity,Consumer Staples,VREI,"Rich, Schroeder and Horne",17379.16,-348.9,-0.0197,0,0,0.3428
2024-11-19,BRK-5234,Taxable,Fixed Income,N/A,NODD,Miller and Sons,20547.82,-110.63,-0.0054,0,0,0.1889
2024-11-19,CRY-6789,Crypto Wallet,Alternative,N/A,CCF,ButCoin,18831.03,-275.04,-0.0144,0,0,0.0
2024-11-19,BRK-5234,Taxable,Cash,N/A,ZRKB,"Bradshaw, Dalton and Jennings",6930.81,4.25,0.0006,1,1,0.8133
2024-11-19,BRK-5234,Taxable,Cash,N/A,LYMP,Ritter and Sons,16675.72,12.08,0.0007,1,1,0.7084
2024-11-19,IRA-1995,Retirement,Equity,Industrials,JAXI,Rodriguez-Jones,20112.83,-7.58,-0.0004,0,0,0.2927
2024-11-19,CRY-6789,Crypto Wallet,Alternative,Real Estate,SIL,SkinCoin,24253.92,1319.94,0.0576,1,1,0.523
2024-11-19,CRY-6789,Crypto Wallet,Alternative,Technology,JOU,DemocraticCoin,14011.49,156.14,0.0113,1,1,0.9349
2024-11-19,BRK-5234,Taxable,Cash,N/A,FWFN,Schultz LLC,18306.17,-0.38,-0.0,0,0,0.3004
2024-11-19,BRK-5234,Taxable,Alternative,Real Estate,VULY,Jones LLC,19261.22,-396.64,-0.0202,0,0,0.1326
2024-11-19,BRK-5234,Taxable,Fixed Income,N/A,DITR,Moore-Rodriguez,13824.68,36.67,0.0027,1,1,1.0
2024-11-19,IRA-1995,Retirement,Equity,Real Estate,TUQG,Johnson Ltd,24523.52,1136.92,0.0486,1,1,0.7355
2024-11-19,BRK-5234,Taxable,Fixed Income,N/A,VFDN,Wilson Group,19477.14,62.93,0.0032,1,1,0.7144
2024-11-19,IRA-1995,Retirement,Fixed Income,N/A,AIMG,Martinez-Khan,16824.92,-42.18,-0.0025,0,0,0.0825
2024-11-26,IRA-1995,Retirement,Equity,Real Estate,XRTT,Rangel-Lopez,9340.03,-183.05,-0.0192,0,0,0.2884
2024-11-26,CRY-6789,Crypto Wallet,Alternative,Technology,XRG,RichCoin,6505.4,-416.48,-0.0602,0,0,0.2572
2024-11-26,IRA-1995,Retirement,Fixed Income,N/A,OTGK,"Burke, Gray and Berry",10947.26,-13.44,-0.0012,0,0,0.0
2024-11-26,CRY-6789,Crypto Wallet,Alternative,N/A,TBX,SortCoin,15415.84,1119.58,0.0783,1,1,0.7191
2024-11-26,CRY-6789,Crypto Wallet,Alternative,N/A,DZI,BeautifulCoin,22090.18,936.71,0.0443,1,1,1.0
2024-11-26,BRK-5234,Taxable,Fixed Income,N/A,TTPY,Shaw Ltd,21854.12,278.67,0.0129,1,1,0.8361
2024-11-26,IRA-1995,Retirement,Equity,Consumer Staples,VREI,"Rich, Schroeder and Horne",17172.94,-206.22,-0.0119,0,0,0.2285
2024-11-26,BRK-5234,Taxable,Fixed Income,N/A,NODD,Miller and Sons,20735.0,187.18,0.0091,1,1,0.8718
2024-11-26,CRY-6789,Crypto Wallet,Alternative,N/A,CCF,ButCoin,19123.06,292.02,0.0155,1,1,0.7183
2024-11-26,BRK-5234,Taxable,Cash,N/A,ZRKB,"Bradshaw, Dalton and Jennings",6932.82,2.0,0.0003,1,1,0.6672
2024-11-26,BRK-5234,Taxable,Cash,N/A,LYMP,Ritter and Sons,16673.89,-1.83,-0.0001,0,0,0.182
2024-11-26,IRA-1995,Retirement,Equity,Industrials,JAXI,Rodriguez-Jones,20872.98,760.15,0.0378,1,1,0.5482
2024-11-26,CRY-6789,Crypto Wallet,Alternative,Real Estate,SIL,SkinCoin,23895.99,-357.93,-0.0148,0,0,0.2033
2024-11-26,CRY-6789,Crypto Wallet,Alternative,Technology,JOU,DemocraticCoin,13709.31,-302.18,-0.0216,0,0,0.2251
2024-11-26,BRK-5234,Taxable,Cash,N/A,FWFN,Schultz LLC,18298.23,-7.94,-0.0004,0,0,0.0953
